"age","state","q1","q8a","q8b","q8c","q8d","q8e","q8f","q8g","q8h","q19","q20","q25","q25a","q36","q41","q44a","q44b","q44c","q44d","q44g","q44i","q45a","q46","employ","lwp","finan","home2","educ","health"
"30","UT","Pretty happy","Somewhat important","One of the most important things","Very important but not the most","One of the most important things","Very important but not the most","Not important","Somewhat important","Very important but not the most","No",NA,"0",NA,"Not too closely","Oppose","No","No","No","No","No","Yes","No",NA,"Full-time","Lived with current spouse before married","No",NA,"Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"59","CA","Not too happy","Somewhat important","One of the most important things","Not important","One of the most important things","Somewhat important","Not important","Very important but not the most","One of the most important things","No",NA,"1",NA,"Fairly closely","Favor","Yes","No","No","No","No","Yes","Yes","2","Full-time","Lived with current spouse before married",NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"32","CA","Very happy","Very important but not the most","One of the most important things","One of the most important things","One of the most important things","One of the most important things","Not important","Very important but not the most","One of the most important things","No",NA,"50",NA,"Fairly closely","Strongly oppose","Yes","No","No","No","No","No","No",NA,"Not employed",NA,"No",NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"29","CA","Very happy","Very important but not the most","Very important but not the most","Not important","Not important","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","Several times a day","25",NA,"Very closely","Strongly favor","Yes","Yes","No","No","Yes","Yes","No",NA,"Full-time",NA,"No","Rent","Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"25","CA","Very happy","One of the most important things","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Somewhat important","One of the most important things","Very important but not the most","No",NA,"15",NA,"Very closely","Strongly oppose","Yes","No","Yes","No","Yes","Yes","No",NA,"Not employed","Lived with current spouse before married","No","Rent","College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"52","CA","Pretty happy","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Not important","Somewhat important","Very important but not the most","No",NA,NA,NA,"Fairly closely","(VOL) Don't know/Refused","Yes","Yes","No","No",NA,"Yes","No",NA,"Full-time","Lived with current spouse before married",NA,NA,"Technical, trade, or vocational school AFTER high school","Covered by health insurance"
"19","CA","Not too happy","Somewhat important","One of the most important things","Not important","One of the most important things","One of the most important things","Not important","Very important but not the most","Very important but not the most","No",NA,"500",NA,"Not at all closely","(VOL) Don't know/Refused","Yes","Yes","No","Yes","Yes","Yes","No",NA,"Not employed",NA,"Yes","Live with parents","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"70","CA","Pretty happy","Somewhat important","One of the most important things","Very important but not the most","Very important but not the most","Not important","Not important","Somewhat important","One of the most important things",NA,NA,NA,NA,"Very closely","Strongly favor","Yes","Yes","No",NA,NA,"Yes","No",NA,"Full-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"38","CA","Pretty happy","Somewhat important","One of the most important things","Somewhat important","One of the most important things","Very important but not the most","Not important","Somewhat important","Somewhat important","Yes","Several times a day","0",NA,"Fairly closely","Favor","Yes","Yes","No","No","Yes","Yes","No",NA,"Full-time","Lived with current spouse before married","No",NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"47","CA","Very happy","Somewhat important","One of the most important things","Somewhat important","One of the most important things","One of the most important things","Not important","One of the most important things","One of the most important things","Yes","Less often","2",NA,"Very closely","Strongly oppose","Yes","Yes","No","No","Yes","No","No",NA,"Full-time",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"41","NY","Pretty happy","Somewhat important","Very important but not the most","One of the most important things","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Very closely","Strongly oppose","Yes","Yes","Yes","No",NA,"No","No",NA,"Part-time","Lived with current spouse before married",NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"56","GA","Very happy","Somewhat important","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","About once a day","10",NA,"Fairly closely","(VOL) Don't know/Refused","Yes","No","No","Yes","Yes","Yes","No",NA,"Full-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"18","NY","Pretty happy","Somewhat important","Not important","One of the most important things","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","About once a day","DON'T KNOW/REFUSED","(VOL) Don't know/Refused","Very closely","Favor","Yes","No","No","No","No","No","No",NA,"Not employed",NA,"Yes","Live with parents","College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"40","NC","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Somewhat important","Yes","Every few days","10",NA,"Fairly closely","Strongly favor","Yes","Yes","No","Yes","Yes","Yes","No",NA,"Part-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"73","OH","Pretty happy","Not important","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Very closely","Strongly oppose","Yes","Yes","Yes","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"63","NJ","Pretty happy","Not important","Somewhat important","Not important","Very important but not the most","Somewhat important","Not important","Very important but not the most","Somewhat important","Yes","Every few days","2",NA,"Not too closely","Strongly favor","Yes","Yes","Yes","No","Yes","No","No",NA,"Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"55","FL","Pretty happy","Very important but not the most","Not important","Somewhat important","One of the most important things","Somewhat important","Not important","Very important but not the most","Somewhat important","No",NA,NA,NA,"Very closely","Favor","Yes","No","No","No",NA,"Yes","Yes","1","Full-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"42","FL","Not too happy","One of the most important things","Very important but not the most","Very important but not the most","Very important but not the most","One of the most important things","Somewhat important","Very important but not the most","Very important but not the most","No",NA,"15",NA,"Very closely","Strongly oppose","Yes","No","Yes","No","Yes","No","No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"26","MD","Very happy","Somewhat important","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Somewhat important","No",NA,"100",NA,"Very closely","(VOL) Don't know/Refused","No","No","No","No","Yes","Yes","Yes","5","Not employed","Lived with current spouse before married","No","Own","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"40","FL","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Somewhat important","Very important but not the most","Yes","Once a week","4",NA,"Fairly closely","Strongly oppose","No","Yes","Yes","No","Yes","Yes","No",NA,"Full-time","Lived with current spouse before married",NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"45","GA","Very happy","One of the most important things","Very important but not the most","One of the most important things","Somewhat important","One of the most important things","Very important but not the most","Very important but not the most","Very important but not the most","No",NA,"20",NA,"Fairly closely","Favor","Yes","No","No","No","Yes","Yes","Yes","1","Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"51","IN","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","Every few days",NA,NA,"Fairly closely","Strongly oppose","Yes","No","Yes","No",NA,"No","No",NA,"Full-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"31","OH","Pretty happy","Not important","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Somewhat important","No",NA,"0",NA,"Fairly closely","Favor","Yes","No","No","No","No","No","No",NA,"Not employed",NA,"No",NA,"Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"47","OH","Very happy","Very important but not the most","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","Once a week","30",NA,"Very closely","Strongly oppose","No","No","Yes","No","Yes","Yes","No",NA,"Part-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"29","SC","Pretty happy","Very important but not the most","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Not important","Somewhat important","Somewhat important","Yes","Once a week","20",NA,"Not too closely","Oppose","Yes","No","Yes","No","Yes","Yes","Yes","7","Full-time","Lived with both current spouse and someone else","No","Own","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"25","OR","Very happy","Somewhat important","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Somewhat important","Yes","About once a day","50",NA,"Fairly closely","Favor","Yes","Yes","No","No","Yes","Yes","Yes","10","Full-time",NA,"No","Rent","Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"80","CA","Very happy","Not important","Somewhat important","Not important","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Very closely","Strongly favor","Yes","Yes","No","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"18","PA","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","Somewhat important","Yes","Every few days","100",NA,"Fairly closely","Strongly favor","Yes","Yes","No","No","No","Yes","No",NA,"Full-time",NA,"Yes","Live with parents","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"43","NC","Very happy","Not important","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","Somewhat important","Yes","About once a day","5",NA,"Very closely","Strongly oppose","Yes","Yes","No","Yes","Yes","Yes","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"59","IN","Not too happy","Very important but not the most","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Not important","Somewhat important","One of the most important things","Yes","Every few days","2",NA,"Very closely","Strongly oppose","No","Yes","No","No","No","Yes","No",NA,"Not employed","Lived with both current spouse and someone else",NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"50","NY","Very happy","Very important but not the most","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Not important","Somewhat important","Very important but not the most","No",NA,"0",NA,"Fairly closely","Oppose","Yes","No","Yes","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"19","NY","Pretty happy","One of the most important things","Not important","Somewhat important","One of the most important things","Not important","Somewhat important","Somewhat important","One of the most important things","Yes","Less often","133",NA,"Very closely","Strongly oppose","No","No","No","No","No","Yes","No",NA,"Not employed",NA,"Yes","Live with parents","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"42","NY","Pretty happy","Somewhat important","Somewhat important","Somewhat important","Very important but not the most","Not important","Not important","Somewhat important","Somewhat important","No",NA,"50",NA,"Very closely","Oppose","Yes","Yes","No","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"25","NY","Not too happy","Very important but not the most","Not important","Very important but not the most","Not important","One of the most important things","Not important","Not important","Very important but not the most","No",NA,"324",NA,"Not too closely","Strongly oppose","Yes","Yes","Yes","Yes","No","Yes","Yes","6","Full-time",NA,"Yes","(VOL) Other arrangement","Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"77","NY","Very happy","Somewhat important","One of the most important things","Not important","Very important but not the most","Somewhat important","Not important","Very important but not the most","One of the most important things",NA,NA,NA,NA,"Very closely","Strongly favor","Yes","Yes","No",NA,NA,"Yes","No",NA,"Full-time","Lived with current spouse before married",NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"41","PA","Pretty happy","Somewhat important","Very important but not the most","(VOL) Don't know/Refused","Very important but not the most","One of the most important things","Not important","Very important but not the most","Very important but not the most","Yes","Once a week","30",NA,"Very closely","(VOL) Don't know/Refused","No","Yes","Yes","No","No","Yes","Yes","1","Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"55","NY","Very happy","Not important","Very important but not the most","Not important","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,"0",NA,"Very closely","(VOL) Don't know/Refused","Yes","No","Yes","No","Yes","Yes","No",NA,"Full-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"27","NY","Very happy","Very important but not the most","Very important but not the most","Not important","Not important","Somewhat important","Not important","Somewhat important","Very important but not the most","Yes","Several times a day","400",NA,"Fairly closely","Favor","Yes","Yes","No","No","Yes","Yes","Yes","2","Full-time",NA,"No","Live with parents","College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"22","PA","Not too happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","Several times a day","5",NA,"Not too closely","Favor","Yes","Yes","No","Yes","Yes","Yes","Yes","1","Part-time",NA,"No","(VOL) Other arrangement","Technical, trade, or vocational school AFTER high school","Not covered by health insurance"
"23","FL","Pretty happy","One of the most important things","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","Somewhat important","Yes","Less often","1",NA,"Very closely","Strongly oppose","Yes","No","No","No","Yes","Yes","No",NA,"Not employed",NA,"Yes","Rent","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"30","PA","Pretty happy","Very important but not the most","One of the most important things","One of the most important things","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","Every few days","30",NA,"Fairly closely","Oppose","Yes","Yes","No","No","Yes","Yes","No",NA,"Full-time",NA,"No",NA,"Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"39","CT","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Somewhat important","Yes","Less often","4",NA,"Fairly closely","(VOL) Don't know/Refused","Yes","No","No","No","No","Yes","No",NA,"Full-time",NA,"No",NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"61","PA","Pretty happy","Somewhat important","One of the most important things","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,"2",NA,"Fairly closely","Strongly oppose","Yes","Yes","No",NA,"No","Yes","No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"52","NY","Pretty happy","Somewhat important","Not important","Somewhat important","Somewhat important","Very important but not the most","Not important","Very important but not the most","Somewhat important","No",NA,NA,NA,"Fairly closely","Oppose","Yes","Yes","No","No",NA,"Yes","No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"53","PA","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","(VOL) Don't know/Refused","Somewhat important",NA,NA,NA,NA,"Not too closely","Oppose","Yes","No","No",NA,NA,"Yes","No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"25","NY","Pretty happy","Very important but not the most","Somewhat important","Not important","One of the most important things","Not important","Not important","(VOL) Don't know/Refused","Somewhat important","Yes","Several times a day","500",NA,"Very closely","Favor","Yes","Yes","No","No","No","Yes","Yes","9","Not employed",NA,"No","Rent","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"36","CO","Pretty happy","Very important but not the most","One of the most important things","Not important","One of the most important things","Very important but not the most","Not important","Somewhat important","Very important but not the most","Yes","Several times a day","20",NA,"Very closely","Favor","Yes","No","No","No","Yes","Yes","No",NA,"Full-time","Lived with both current spouse and someone else","No",NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"35","CA","Not too happy","One of the most important things","Somewhat important","Somewhat important","One of the most important things","Very important but not the most","Not important","Somewhat important","Very important but not the most","No",NA,"20",NA,"Very closely","(VOL) Don't know/Refused","No","Yes","Yes","No","Yes","Yes","Yes","2","Full-time",NA,"No",NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"59","CA","Very happy","Not important","Very important but not the most","Very important but not the most","One of the most important things","One of the most important things","Not important","Very important but not the most","Very important but not the most","No",NA,"5",NA,"Very closely","Oppose","Yes","Yes","No","No","No","No","No",NA,"Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"56","OR","Not too happy","Not important","Very important but not the most","Not important","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Oppose","Yes","Yes","No",NA,NA,"Yes","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"31","WY","Very happy","Somewhat important","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Not important","Very important but not the most","Somewhat important","No",NA,"3",NA,"Very closely","Strongly oppose","No","Yes","Yes","No","Yes","Yes","No",NA,"Full-time",NA,"No",NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"46","WA","Not too happy","Somewhat important","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Not important","Somewhat important","Very important but not the most","Yes","Every few days","0",NA,"Very closely","Strongly oppose","Yes","No","Yes","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"20","ID","Not too happy","Very important but not the most","One of the most important things","Not important","One of the most important things","Not important","Not important","One of the most important things","Somewhat important","Yes","Every few days","200",NA,"Very closely","(VOL) Don't know/Refused","No","No","No","Yes","No","Yes","Yes","1","Not employed",NA,"Yes","Live with parents","High school incomplete (Grades 9-11)","Not covered by health insurance"
"40","AZ","Pretty happy","Not important","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,"0",NA,"Very closely","Strongly oppose","Yes","Yes","No",NA,"Yes","No","No",NA,"Full-time","Lived with current spouse before married",NA,NA,"Technical, trade, or vocational school AFTER high school","Covered by health insurance"
"41","CO","Pretty happy","Somewhat important","Somewhat important","Somewhat important","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","About once a day","20",NA,"Fairly closely","Strongly favor","No","Yes","No","No","Yes","Yes","Yes","5","Part-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"53","WA","Pretty happy","Somewhat important","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","No",NA,"2",NA,"Very closely","Oppose","Yes","Yes","Yes","No","Yes","Yes","No",NA,"Full-time","Lived with current spouse before married",NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"35","CA","Not too happy","Very important but not the most","Somewhat important","Somewhat important","One of the most important things","Very important but not the most","Not important","Somewhat important","Very important but not the most","Yes","Once a week","30",NA,"Fairly closely","Strongly oppose","Yes","Yes","No","No","Yes","Yes","Yes","2","Full-time",NA,"No",NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"43","CA","Very happy","Very important but not the most","One of the most important things","Not important","Very important but not the most","Not important","Not important","Not important","Very important but not the most","Yes","About once a day","40",NA,"Not at all closely","Oppose","Yes","Yes","No","No","No","Yes","No",NA,"Full-time","Lived with someone else",NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"18","TX","Pretty happy","One of the most important things","Somewhat important","Somewhat important","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","No",NA,"100",NA,"Very closely","Favor","Yes","No","Yes","No","No","Yes","No",NA,"Not employed",NA,"Yes","Live with parents","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"67","AL","Not too happy","Very important but not the most","One of the most important things","Very important but not the most","One of the most important things","Very important but not the most","Not important","Very important but not the most","One of the most important things","No",NA,NA,NA,"Very closely","Oppose","Yes","No","Yes","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"19","TX","Not too happy","Somewhat important","Very important but not the most","Not important","Very important but not the most","Somewhat important","Not important","One of the most important things","Very important but not the most","Yes","Every few days","25",NA,"Very closely","Oppose","Yes","Yes","No","Yes","Yes","Yes","No",NA,"Full-time",NA,"Yes","Live with parents","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"31","CO","Pretty happy","Very important but not the most","Very important but not the most","Somewhat important","Very important but not the most","Not important","Not important","Somewhat important","Somewhat important","Yes","Once a week","5",NA,"Very closely","Strongly oppose","Yes","No","Yes","No","No","Yes","No",NA,"Not employed",NA,"No",NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"71","OR","Very happy","One of the most important things","One of the most important things","Very important but not the most","Very important but not the most","Not important","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Very closely","Oppose","Yes","No","Yes","No",NA,"Yes","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"60","CA","Pretty happy","Not important","Somewhat important","Not important","Somewhat important","Very important but not the most","Not important","Very important but not the most","Not important","Yes","Every few days",NA,NA,"Fairly closely","Strongly favor","Yes","No","No","No",NA,"No","Yes","DON'T KNOW/REFUSED","Full-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Not covered by health insurance"
"18","CA","Very happy","Very important but not the most","Somewhat important","Somewhat important","Very important but not the most","Somewhat important","Not important","Somewhat important","Somewhat important","Yes","Every few days","83",NA,"Not at all closely","Favor","Yes","Yes","No","No","No","Yes","No",NA,"Not employed",NA,"Yes","Live with parents","High school incomplete (Grades 9-11)","Not covered by health insurance"
"24","ME","Very happy","Somewhat important","One of the most important things","Somewhat important","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","Every few days","0",NA,"Very closely","Strongly favor","Yes","Yes","Yes","No","Yes","No","Yes","1","Part-time","Lived with current spouse before married","No","Own","Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"19","MI","Pretty happy","Very important but not the most","Very important but not the most","Not important","One of the most important things","Somewhat important","Not important","One of the most important things","Somewhat important","Yes","Several times a day","40",NA,"Very closely","Strongly favor","Yes","Yes","No","No","Yes","Yes","No",NA,"Part-time",NA,"Yes","Live with parents","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"28","VA","Pretty happy","Not important","One of the most important things","Very important but not the most","Very important but not the most","Not important","Not important","Somewhat important","Somewhat important","Yes","About once a day","10",NA,"Very closely","Oppose","Yes","Yes","No","No","Yes","Yes","No",NA,"Not employed",NA,"No","Own","College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"24","OH","Pretty happy","One of the most important things","One of the most important things","One of the most important things","One of the most important things","Somewhat important","Not important","One of the most important things","Very important but not the most","Yes","About once a day",NA,NA,"Fairly closely","Strongly oppose","Yes","No","Yes","No",NA,NA,"Yes","1","Full-time","Lived with current spouse before married","No","Rent","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"24","IN","Pretty happy","Somewhat important","Very important but not the most","One of the most important things","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","About once a day","25",NA,"Fairly closely","(VOL) Don't know/Refused","No","Yes","No","No","Yes","Yes","Yes","2","Full-time","Lived with current spouse before married","No","Own","Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"20","NC","Very happy","Somewhat important","One of the most important things","Very important but not the most","One of the most important things","Somewhat important","Not important","Very important but not the most","One of the most important things","Yes","About once a day",NA,NA,"Very closely","Strongly oppose","Yes","No","Yes","Yes",NA,"Yes","No",NA,"Part-time",NA,"Yes","Live with parents","Technical, trade, or vocational school AFTER high school","Covered by health insurance"
"27","OH","Pretty happy","One of the most important things","Very important but not the most","One of the most important things","Very important but not the most","Very important but not the most","Not important","Very important but not the most","One of the most important things","No",NA,NA,NA,"Very closely","(VOL) Don't know/Refused","Yes","No","No","No",NA,NA,"No",NA,"Full-time",NA,"No","Rent","Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"21","WV","Pretty happy","Not important","Very important but not the most","One of the most important things","One of the most important things","Somewhat important","Not important","Very important but not the most","Somewhat important",NA,NA,NA,NA,"Very closely","Strongly oppose","Yes","No","No",NA,NA,NA,"No",NA,"Not employed",NA,"Yes","Live with parents","Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"22","NY","Pretty happy","Not important","One of the most important things","Not important","One of the most important things","Somewhat important","Not important","One of the most important things","Somewhat important","Yes","Once a week","1",NA,"Very closely","Strongly favor","No","Yes","No","No","Yes","Yes","Yes","2","Not employed","Lived with current spouse before married","No","Rent","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"23","SC","Not too happy","Very important but not the most","Not important","One of the most important things","Somewhat important","Not important","Not important","Very important but not the most","Very important but not the most","Yes","Several times a day","200",NA,"Very closely","Strongly oppose","Yes","Yes","Yes","No","Yes","Yes","No",NA,"Not employed",NA,"No","Own","Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"29","NH","Very happy","Not important","One of the most important things","Very important but not the most","One of the most important things","Not important","Not important","Very important but not the most","Somewhat important","Yes","Every few days","10",NA,"Very closely","Strongly oppose","No","Yes","Yes","No","Yes","Yes","No",NA,"Part-time",NA,"No","Own","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"24","RI","Pretty happy","Somewhat important","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Somewhat important","Yes","About once a day","10",NA,"Fairly closely","Favor","Yes","No","Yes","No","Yes","Yes","No",NA,"Part-time",NA,"Yes","Live with parents","College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"24","MD","Pretty happy","One of the most important things","One of the most important things","One of the most important things","One of the most important things","Somewhat important","Not important","One of the most important things","One of the most important things","Yes","Several times a day","40",NA,"Not at all closely","Oppose","No","No","No","No","Yes","Yes","Yes","5","Part-time",NA,"Yes","Rent","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"27","NY","Pretty happy","Very important but not the most","Very important but not the most","Not important","Very important but not the most","One of the most important things","Not important","Very important but not the most","Not important","Yes","Several times a day","200",NA,"Fairly closely","Strongly favor","No","Yes","No","Yes","No","Yes","No",NA,"Not employed",NA,"Yes","Live with parents","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"26","NC","Very happy","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Somewhat important",NA,NA,NA,NA,"Very closely","Strongly favor","Yes","No","No",NA,NA,"No","Yes","1","Not employed",NA,"No","Rent","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"23","WV","Very happy","Somewhat important","One of the most important things","Very important but not the most","One of the most important things","Somewhat important","Not important","Very important but not the most","Somewhat important","Yes","Every few days","10",NA,"Fairly closely","Oppose","Yes","No","Yes","No","Yes","Yes","No",NA,"Full-time",NA,"Yes","Live with parents","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"19","FL","Pretty happy","One of the most important things","Very important but not the most","One of the most important things","One of the most important things","Very important but not the most","Not important","Very important but not the most","One of the most important things","Yes","Several times a day","500",NA,"Fairly closely","Strongly oppose","Yes","No","No","No","No","Yes","No",NA,"Full-time",NA,"No","Live with parents","High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
